Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,PG,TSLA
2015-01-05,23.577574,15.109500,25.795086,76.903282,45.490570,76.768837,39.565838,0.474880,66.665031,14.006000
2015-01-06,23.579790,14.764500,25.158482,76.525406,44.311043,75.734505,38.985119,0.460482,66.361374,14.085333
2015-01-07,23.910439,14.921000,25.084490,78.214767,44.378674,75.734505,39.480442,0.459282,66.709457,14.063333
2015-01-08,24.829132,15.023000,25.171886,78.829758,45.370373,77.753448,40.641872,0.476559,67.472328,14.041333
2015-01-09,24.855753,14.846500,24.864506,77.755371,44.581520,77.315842,40.300274,0.478479,66.842773,13.777333
2015-01-12,24.243292,14.570500,24.682762,77.488632,44.198353,76.301399,39.796425,0.472480,66.598373,13.480667
2015-01-13,24.458538,14.737000,24.918139,77.621994,44.205864,76.032875,39.591446,0.471760,66.879845,13.616667
2015-01-14,24.365341,14.663500,25.123220,77.058884,42.680752,75.863792,39.249855,0.473680,66.650208,12.846000
2015-01-15,23.704060,14.347500,25.027882,75.940033,41.313412,73.645981,38.839935,0.470320,66.553917,12.791333
2015-01-16,23.519880,14.537000,25.348169,77.088524,42.019619,74.769806,39.488976,0.478959,67.583435,12.871333
2015-01-20,24.125690,14.472000,25.322350,75.050919,41.854328,75.824028,39.617065,0.480399,67.538933,12.795333
2015-01-21,24.309870,14.862500,25.841272,75.502869,41.989563,76.321289,39.215698,0.487118,67.676224,13.104667
2015-01-22,24.942299,15.516000,26.680981,76.881042,43.266773,77.226341,40.249046,0.495516,68.340065,13.441333
2015-01-23,25.071001,15.619500,26.911884,75.725166,42.583084,77.405350,40.291725,0.496956,67.191399,13.419333
2015-01-26,25.097635,15.483000,26.652180,75.769623,42.650703,77.077156,40.146549,0.494796,66.818436,13.770000
2015-01-27,24.218882,15.337500,25.880997,75.643661,42.222466,75.366516,36.431664,0.471040,64.513573,13.732000
2015-01-28,25.588045,15.195500,25.445997,75.191666,41.133095,75.824028,35.176285,0.463362,63.514072,13.291333
2015-01-29,26.384697,15.589000,25.485723,75.858528,41.824291,77.574425,35.876553,0.474640,63.901932,13.680000
2015-01-30,25.998573,17.726500,26.693392,74.198814,40.855125,75.495819,34.501625,0.460722,62.872585,13.573333
2015-02-02,26.324778,18.223499,26.427727,74.710052,41.674026,74.580841,35.253132,0.470800,63.491703,14.062667
2015-02-03,26.329214,18.177500,26.482349,75.917801,42.613148,74.988609,35.526421,0.482558,64.110771,14.557333
2015-02-04,26.531151,18.237499,26.124813,75.102776,42.357697,75.217354,35.731369,0.483758,63.991447,14.570000
2015-02-05,26.720516,18.694500,26.310038,75.917801,42.650703,75.197464,36.252304,0.491677,64.670204,14.732667
2015-02-06,26.495504,18.714001,26.511150,74.910095,43.492142,74.063683,36.218159,0.489517,63.857178,14.490667
2015-02-09,26.671509,18.528000,26.282724,73.932045,43.439548,74.033844,36.175457,0.489037,63.439484,14.498667
2015-02-10,27.183901,18.650000,26.822998,74.354408,43.920376,74.779755,36.380417,0.502715,63.693085,14.419333
2015-02-11,27.821058,18.757000,26.715740,74.376625,43.852764,76.092552,36.192532,0.499356,63.879543,14.186667
2015-02-12,28.173056,18.858500,27.113495,72.939201,44.754311,75.814079,36.798878,0.535109,64.170456,13.525333
2015-02-13,28.311180,19.091499,27.369234,73.813515,44.829441,75.326744,37.464989,0.535349,64.073494,13.584667
2015-02-17,28.478270,18.771500,27.063837,74.421074,45.152489,75.187515,37.482204,0.537029,63.767651,13.623333
2015-02-18,28.676550,18.668501,26.946646,74.065422,44.604057,76.291466,37.439190,0.530790,64.342018,13.630667
2015-02-19,28.616388,18.950001,27.135344,74.613747,44.498871,78.986671,37.413387,0.532230,63.558800,14.114000
2015-02-20,28.850317,19.183001,26.904438,74.807732,44.927116,79.464066,37.723011,0.536070,63.305191,14.474000
2015-02-23,29.630056,19.007000,26.566767,74.748032,44.589031,78.409836,37.972443,0.531750,63.693085,13.822667
2015-02-24,29.445147,18.929501,26.748018,75.136047,45.693420,78.021973,37.920834,0.537411,63.775139,13.607333
2015-02-25,28.692133,19.268499,27.179045,75.516548,45.933842,79.125908,37.834827,0.533316,63.745277,13.584000
2015-02-26,29.055275,19.240000,27.772949,76.702934,46.264408,79.971275,37.895023,0.534761,63.528961,13.812667
