Date,SPY
2015-01-05,-0.00941918
2015-01-06,0.01246136
2015-01-07,0.01774489
2015-01-08,-0.00801365
2015-01-09,-0.00783360
2015-01-12,-0.00281293
2015-01-13,-0.00603666
2015-01-14,-0.00916051
2015-01-15,0.01311396
2015-01-16,0.00213250
2015-01-20,0.00504749
2015-01-21,0.01487182
2015-01-22,-0.00548280
2015-01-23,0.00234150
2015-01-26,-0.01319034
2015-01-27,-0.01282427
2015-01-28,0.00924318
2015-01-29,-0.01257493
2015-01-30,0.01238427
2015-02-02,0.01446111
2015-02-03,-0.00380785
2015-02-04,0.01009524
2015-02-05,-0.00276522
2015-02-06,-0.00447620
2015-02-09,0.01065356
2015-02-10,0.00058026
2015-02-11,0.00961693
2015-02-12,0.00411653
2015-02-13,0.00157272
2015-02-17,0.00009522
2015-02-18,-0.00071382
2015-02-19,0.00600071
2015-02-20,-0.00014224
2015-02-23,0.00284058
2015-02-24,-0.00084958
2015-02-25,-0.00118135
2015-02-26,-0.00340627
2015-02-27,0.00631365
2015-03-02,-0.00410393
2015-03-03,-0.00421595
2015-03-04,0.00109431
2015-03-05,-0.01406435
2015-03-06,0.00414461
2015-03-09,-0.01622197
2015-03-10,-0.00234183
2015-03-11,0.01271426
2015-03-12,-0.00613255
2015-03-13,0.01336074
2015-03-16,-0.00297249
2015-03-17,0.01202135
2015-03-18,-0.00456137
2015-03-19,0.00882663
2015-03-20,-0.00194853
2015-03-23,-0.00561902
2015-03-24,-0.01465380
2015-03-25,-0.00238127
2015-03-26,0.00228984
2015-03-27,0.01219963
2015-03-30,-0.00873942
2015-03-31,-0.00353633
2015-04-01,0.00359711
2015-04-02,0.00673330
2015-04-06,-0.00264629
2015-04-07,0.00337734
2015-04-08,0.00442336
2015-04-09,0.00545722
2015-04-10,-0.00452291
2015-04-13,0.00191294
2015-04-14,0.00448733
2015-04-15,-0.00028526
2015-04-16,-0.01150352
2015-04-17,0.00913691
2015-04-20,-0.00119120
2015-04-21,0.00491399
2015-04-22,0.00251621
2015-04-23,0.00232020
2015-04-24,-0.00415741
2015-04-27,0.00317845
2015-04-28,-0.00411452
2015-04-29,-0.01002048
2015-04-30,0.01084131
2015-05-01,0.00284778
2015-05-04,-0.01145206
2015-05-05,-0.00411670
2015-05-06,0.00398941
2015-05-07,0.01316593
2015-05-08,-0.00477262
2015-05-11,-0.00299138
2015-05-12,0.00019093
2015-05-13,0.01042755
2015-05-14,0.00108358
2015-05-15,0.00310676
2015-05-18,-0.00032833
2015-05-19,-0.00070397
2015-05-20,0.00291227
2015-05-21,-0.00238900
2015-05-22,-0.01075135
2015-05-26,0.00949204
2015-05-27,-0.00112851
2015-05-28,-0.00621303
2015-05-29,0.00203690
2015-06-01,-0.00099272
2015-06-02,0.00264939
2015-06-03,-0.00844641
2015-06-04,-0.00171312
2015-06-05,-0.00614958
2015-06-08,-0.00014409
2015-06-09,0.01199326
2015-06-10,0.00322390
2015-06-11,-0.00765533
2015-06-12,-0.00428524
2015-06-15,0.00545156
2015-06-16,0.00161706
2015-06-17,0.01039950
2015-06-18,-0.00443912
2015-06-19,0.00512285
2015-06-22,0.00070818
2015-06-23,-0.00726335
2015-06-24,-0.00304037
2015-06-25,-0.00019046
2015-06-26,-0.02097005
2015-06-29,0.00209303
2015-06-30,0.00801568
2015-07-01,-0.00091553
2015-07-02,-0.00284611
2015-07-06,0.00628895
2015-07-07,-0.01677736
2015-07-08,0.00180892
2015-07-09,0.01259138
2015-07-10,0.01103759
2015-07-13,0.00433773
2015-07-14,-0.00033230
2015-07-15,0.00802438
2015-07-16,0.00084780
2015-07-17,0.00051777
2015-07-20,-0.00395113
2015-07-21,-0.00179456
2015-07-22,-0.00563020
2015-07-23,-0.01037203
2015-07-24,-0.00581715
2015-07-27,0.01228284
2015-07-28,0.00687917
2015-07-29,0.00023743
2015-07-30,-0.00151844
2015-07-31,-0.00337270
2015-08-03,-0.00195409
2015-08-04,0.00329546
2015-08-05,-0.00818792
2015-08-06,-0.00191968
