available_date,ticker,close_used_date,close,shares_outstanding,market_cap_usd
2022-03-30,AAPL,2022-03-30,174.508301,14840390000.0,2589771245077.3896
2022-03-30,MSFT,2022-03-30,304.883087,7433166379.0,2266246711814.132
2022-03-30,GOOGL,2022-03-30,140.966232,5817000000.0,820000571544.0
2022-03-30,AMZN,2022-03-30,166.300995,10664912097.0,1773585493318.6365
2022-03-30,TSLA,2022-03-30,364.66333,3325150886.0,1212560594841.2102
2022-03-30,META,2022-03-30,226.606827,2168962480.0,491501705474.85095
2022-03-30,NVDA,2022-03-30,27.642712,24347000000.0,673017109064.0
2022-03-30,JPM,2022-03-30,127.909584,2749753854.0,351719871567.53674
2022-03-30,JNJ,2022-03-30,161.783066,2408338872.0,389628446679.14154
2022-03-30,PG,2022-03-30,141.397629,2340485262.0,330939066756.2438
2022-06-30,AAPL,2022-06-30,134.408676,14840390000.0,1994677171223.6401
2022-06-30,MSFT,2022-06-30,250.065277,7433166379.0,1858776809551.7222
2022-06-30,GOOGL,2022-06-30,108.216621,5817000000.0,629496084357.0
2022-06-30,AMZN,2022-06-30,106.209999,10664912097.0,1132720303157.4578
2022-06-30,TSLA,2022-06-30,224.473328,3325150886.0,746407685482.5686
2022-06-30,META,2022-06-30,160.370178,2168962480.0,347836898992.92145
2022-06-30,NVDA,2022-06-30,15.136312,24347000000.0,368523788264.0
2022-06-30,JPM,2022-06-30,103.249374,2749753854.0,283910364079.5874
2022-06-30,JNJ,2022-06-30,160.936874,2408338872.0,387590529592.3661
2022-06-30,PG,2022-06-30,132.428452,2340485262.0,309946840175.4744
2022-07-31,AAPL,2022-07-29,159.76268,14840390000.0,2370940478645.1997
2022-07-31,MSFT,2022-07-29,273.34552,7433166379.0,2031822729114.2722
2022-07-31,GOOGL,2022-07-29,115.523224,5817000000.0,671998594008.0
2022-07-31,AMZN,2022-07-29,134.949997,10664912097.0,1439229855495.4136
2022-07-31,TSLA,2022-07-29,297.149994,3325150886.0,988068565823.9946
2022-07-31,META,2022-07-29,158.231934,2168962480.0,343199127983.8363
2022-07-31,NVDA,2022-07-29,18.135815,24347000000.0,441552687805.0
2022-07-31,JPM,2022-07-29,106.70639,2749753854.0,293416307148.92706
2022-07-31,JNJ,2022-07-29,158.226028,2408338872.0,381061893794.5604
2022-07-31,PG,2022-07-29,128.764587,2340485262.0,301371618141.0168
2022-12-30,AAPL,2022-12-30,128.123062,14840390000.0,1901396208074.1802
2022-12-30,MSFT,2022-12-30,234.658447,7433166379.0,1744255278788.7534
2022-12-30,GOOGL,2022-12-30,87.625633,5817000000.0,509718307160.99994
2022-12-30,AMZN,2022-12-30,84.0,10664912097.0,895852616148.0
2022-12-30,TSLA,2022-12-30,123.18,3325150886.0,409592086137.48004
2022-12-30,META,2022-12-30,119.683411,2168962480.0,259588827937.41928
2022-12-30,NVDA,2022-12-30,14.600197,24347000000.0,355470996359.0
2022-12-30,JPM,2022-12-30,125.150414,2749753854.0,344132833226.19556
2022-12-30,JNJ,2022-12-30,162.273941,2408338872.0,390810640022.9346
2022-12-30,PG,2022-12-30,141.487717,2340485262.0,331149916392.52686
2023-03-30,AAPL,2023-03-30,160.346527,14840390000.0,2379604995825.5303
2023-03-30,MSFT,2023-03-30,278.632629,7433166379.0,2071122689975.1804
2023-03-30,GOOGL,2023-03-30,100.198921,5817000000.0,582857123457.0
2023-03-30,AMZN,2023-03-30,102.0,10664912097.0,1087821033894.0
2023-03-30,TSLA,2023-03-30,195.279999,3325150886.0,649335461692.9291
2023-03-30,META,2023-03-30,206.705978,2168962480.0,448337510673.7054
