ticker,period_end,period_type,total_revenue_usd,available_date
AAPL,2021-09-30,annual,212981000000.0,2022-03-30
AAPL,2022-09-30,annual,223546000000.0,2023-03-30
AMZN,2021-12-31,annual,272344000000.0,2022-06-30
AMZN,2022-12-31,annual,288831000000.0,2023-06-30
GOOGL,2021-12-31,annual,110939000000.0,2022-06-30
GOOGL,2022-12-31,annual,126203000000.0,2023-06-30
JNJ,2021-12-31,annual,23402000000.0,2022-06-30
JNJ,2022-12-31,annual,24596000000.0,2023-06-30
JPM,2021-12-31,annual,121685000000.0,2022-06-30
JPM,2022-12-31,annual,127727000000.0,2023-06-30
META,2021-12-31,annual,22649000000.0,2022-06-30
META,2022-12-31,annual,25249000000.0,2023-06-30
MSFT,2022-06-30,annual,62650000000.0,2022-12-30
MSFT,2023-06-30,annual,65863000000.0,2023-12-30
NVDA,2022-01-31,annual,9439000000.0,2022-07-31
NVDA,2023-01-31,annual,11618000000.0,2023-07-31
PG,2022-06-30,annual,42157000000.0,2022-12-30
PG,2023-06-30,annual,42760000000.0,2023-12-30
TSLA,2021-12-31,annual,40217000000.0,2022-06-30
TSLA,2022-12-31,annual,60609000000.0,2023-06-30
